customer_id,first_name,last_name,gender,age,language,agree_for_promo,autopay_card,customer_category,status,data_of_birth,customer_since,email,region,geo,termination_date,msisdn
1,Avery,Evans,female,1957,French,1,Yes, physical,active,1957-11-29,2021-05-25,Avery.Evans90931@mail.com,Ontario,"[43.684345,-79.431292]",,+12497223294
2,Noah,Robinson,male,1958,English,1,Yes, physical,active,1958-01-29,2020-01-31,Noah.Robinson73063@hotmail.com,Ontario,"[43.684345,-79.431292]",2019-06-07,+14164532043
3,Hannah,Pelletier,female,1956,English,1,Yes, physical,active,1956-06-16,2021-06-03,Hannah.Pelletier56185@gmx.com,Quebec,"[46.807102,-71.211788]",,+15792760379
4,Mia,Martin,female,1998,English,1,Yes, physical,active,1998-11-15,2021-02-15,Mia.Martin75789@yahoo.com,Ontario,"[43.684345,-79.431292]",,+12262236847
5,Isla,Hall,female,1949,English,0,No, physical,active,1949-09-11,2021-07-21,Isla.Hall80235@gmail.com,Manitoba,"[49.887898, -97.134185]",,+14316228524
6,Avery,Khan,female,1965,English,1,Yes, physical,active,1965-07-14,2021-09-05,Avery.Khan23561@gmx.com,Quebec,"[46.807102,-71.211788]",,+15146334222
7,Alexander,Michaud,male,1992,English,1,No, physical,active,1992-02-01,2020-02-29,Alexander.Michaud17319@aol.com,New Brunswick,"[45.956694, -66.658084]",,+15064815239
8,Charlie,Evans,female,1942,English,1,Yes, physical,inactive,1942-07-03,2020-06-30,Charlie.Evans40654@aol.com,Quebec,"[46.807102,-71.211788]",,+15796403705
9,Aria,Lapointe,female,1999,English,1,No,business,active,1999-09-14,2021-01-20,Aria.Lapointe27235@gmx.com,Newfoundland and Labrador,"[47.561796, -52.712189]",,+17095750886
10,Mateo,Evans,male,1993,English,0,No, physical,active,1993-09-25,2021-11-10,Mateo.Evans97360@yahoo.com,Ontario,"[43.684345,-79.431292]",,+12492621697
11,Emma,Rogen,female,1968,French,1,No, physical,active,1968-11-09,2020-07-18,Emma.Rogen33754@gmx.com,Quebec,"[46.807102,-71.211788]",2020-02-26,+15814405115
12,Scarlett,Robinson,female,1999,English,1,No, physical,active,1999-03-03,2020-04-05,Scarlett.Robinson89814@yahoo.com,Quebec,"[46.807102,-71.211788]",,+15813311491
13,Lucas,Cote,male,1947,Chinese,1,No, physical,active,1947-10-13,2020-02-24,Lucas.Cote32953@gmx.com,British Columbia,"[48.423095,-123.366788]",,+12508329408
14,Ava,Robinson,female,1960,French,1,Yes, physical,active,1960-08-19,2021-04-20,Ava.Robinson39200@gmail.com,Ontario,"[43.684345,-79.431292]",,+15194287792
15,Amelia,Davis,female,1982,French,0,No, physical,active,1982-02-12,2020-11-05,Amelia.Davis22731@yahoo.com,Alberta,"[53.530798,-113.511802]",,+17808495902
16,Henry,Reynolds,male,1984,English,1,No, physical,active,1984-08-11,2021-04-06,Henry.Reynolds84897@mail.com,Ontario,"[43.684345,-79.431292]",,+14376559349
17,Chloe,Khan,female,1954,English,1,Yes,business,active,1954-02-22,2021-10-21,Chloe.Khan8859@yahoo.com,British Columbia,"[48.423095,-123.366788]",,+16727410968
18,Abigail,Cameron,female,1952,French,1,Yes, physical,active,1952-08-11,2020-08-06,Abigail.Cameron46026@gmx.com,Quebec,"[46.807102,-71.211788]",,+15799418949
19,Abigail,Khan,female,1991,English,0,No, physical,active,1991-04-16,2021-09-09,Abigail.Khan83402@gmail.com,Quebec,"[46.807102,-71.211788]",,+13677113188
20,Mila,Bouchard,female,1986,English,0,No, physical,active,1986-07-29,2020-08-16,Mila.Bouchard78329@gmail.com,Ontario,"[43.684345,-79.431292]",,+14371471682
21,Isla,Nguyen,female,1964,French,0,Yes, physical,active,1964-11-18,2021-08-10,Isla.Nguyen30065@gmx.com,Ontario,"[43.684345,-79.431292]",,+13438039197
22,Elliot,Nguyen,male,1987,English,1,Yes, physical,active,1987-09-04,2021-06-16,Elliot.Nguyen52842@gmail.com,Ontario,"[43.684345,-79.431292]",,+16471084531
23,Luca,Anderson,male,1960,English,1,No, physical,active,1960-11-18,2020-06-23,Luca.Anderson98617@yahoo.com,Ontario,"[43.684345,-79.431292]",,+17052895267
24,Avery,Hall,female,1993,English,0,No, physical,active,1993-11-19,2021-10-31,Avery.Hall9382@mail.com,Ontario,"[43.684345,-79.431292]",,+12899984270
25,Abigail,Cameron,female,1999,English,0,Yes, physical,active,1999-02-05,2021-12-15,Abigail.Cameron30349@gmx.com,Quebec,"[46.807102,-71.211788]",2021-01-17,+14188421723
26,Leo,Beaulieu,male,1982,French,0,No, physical,active,1982-12-27,2020-03-31,Leo.Beaulieu77435@yahoo.com,Quebec,"[46.807102,-71.211788]",,+15145593201
27,Everly,Pelletier,female,1983,English,0,Yes, physical,active,1983-10-24,2020-12-10,Everly.Pelletier62935@mail.com,Ontario,"[43.684345,-79.431292]",,+14373040882
28,Noah,Cote,male,1956,English,0,Yes, physical,active,1956-04-26,2020-08-06,Noah.Cote88899@gmx.com,Alberta,"[53.530798,-113.511802]",,+17809327397
29,Riley,Levesque,female,1951,English,0,No, physical,active,1951-09-24,2020-11-21,Riley.Levesque35319@yahoo.com,Ontario,"[43.684345,-79.431292]",,+15197260107
30,Owen,King,male,1954,English,0,No, physical,active,1954-08-20,2020-11-15,Owen.King86936@gmx.com,British Columbia,"[48.423095,-123.366788]",,+12366299797
31,Ethan,Davis,male,1962,English,0,No, physical,active,1962-04-06,2020-02-08,Ethan.Davis17719@gmx.com,Quebec,"[46.807102,-71.211788]",,+14181156876
32,Logan,Ouellet,male,1995,English,0,Yes, physical,active,1995-07-08,2021-01-08,Logan.Ouellet6724@mail.com,Ontario,"[43.684345,-79.431292]",,+12493926364
33,Theodore,Campbell,male,1958,French,1,No, physical,active,1958-09-15,2020-09-06,Theodore.Campbell42717@yahoo.com,Newfoundland and Labrador,"[47.561796, -52.712189]",,+17098629077
34,Owen,Peters,male,1965,English,0,No, physical,active,1965-02-14,2021-01-26,Owen.Peters7953@yahoo.com,British Columbia,"[48.423095,-123.366788]",,+16723638077
