customer_id,first_name,last_name,gender,language,agree_for_promo,autopay_card,customer_category,status,data_of_birth,customer_since,email,region,termination_date,msisdn
1,Mila,Nguyen,female,English,1,Yes, physical,active,1995-08-08,2020-08-07,Mila.Nguyen39297@mail.com,British Columbia,,+16045238774
2,Hannah,Anderson,female,French,0,No, physical,active,1964-05-12,2020-04-23,Hannah.Anderson30536@aol.com,British Columbia,,+12362471252
3,Ella,Beaulieu,female,French,1,No, physical,active,2001-12-06,2020-11-01,Ella.Beaulieu80499@yahoo.com,Ontario,,+16134582042
4,Hannah,Leblanc,female,English,1,No, physical,active,1973-04-01,2020-01-01,Hannah.Leblanc20285@mail.com,Quebec,2020-03-20,+15145434466
5,Lily,Levesque,female,English,0,No, physical,active,1962-07-31,2021-02-13,Lily.Levesque52118@gmail.com,Quebec,,+15144309666
6,Zoey,Johnson,female,English,1,No, physical,active,1965-02-13,2020-06-10,Zoey.Johnson18999@aol.com,Quebec,,+13679625037
7,Ava,Gagnon,female,English,0,No,business,active,1950-02-09,2020-03-04,Ava.Gagnon75311@mail.com,British Columbia,,+16043761745
8,Leah,Lapointe,female,English,1,Yes,business,active,1986-06-18,2021-02-01,Leah.Lapointe83053@aol.com,Alberta,2018-11-17,+14034418727
9,Leo,Michaud,male,English,1,Yes, physical,active,1951-10-18,2020-11-25,Leo.Michaud28187@gmail.com,Ontario,,+16136141912
10,Riley,Hall,female,English,0,No, physical,inactive,1997-06-30,2020-03-08,Riley.Hall1525@yahoo.com,Quebec,,+14182070017
11,William,Murray,male,English,0,Yes, physical,active,1986-09-11,2021-07-15,William.Murray72941@yahoo.com,Quebec,2020-03-18,+15796128923
12,Benjamin,Graham,male,English,1,Yes, physical,active,2003-07-01,2020-01-16,Benjamin.Graham94484@aol.com,British Columbia,,+16723849621
13,Isla,Khan,female,English,0,No, physical,active,1947-03-03,2021-03-21,Isla.Khan26607@gmail.com,Manitoba,,+12041177342
14,James,Johnson,male,English,0,Yes, physical,active,1987-02-28,2020-04-07,James.Johnson2233@gmx.com,Ontario,,+12269126313
15,Mia,Ouellet,female,English,0,No, physical,active,1942-04-03,2020-09-02,Mia.Ouellet32607@yahoo.com,Quebec,,+14507587775
16,Liam,Campbell,male,English,1,No, physical,active,1994-05-25,2020-03-19,Liam.Campbell27808@yahoo.com,British Columbia,,+12504387759
